0 13.0
1 12.0
2 10.0
3 16.0
4 15.0
5 15.0
6 10.0
7 19.0
8 34.0
9 14.0
10 24.0
11 15.0
12 19.0
13 31.0
14 33.0
15 34.0
16 10.0
17 30.0
18 26.0
19 17.0
20 29.0
21 17.0
22 24.0
23 17.0
24 30.0
25 12.0
26 20.0
27 13.0
28 14.0
29 33.0
30 66.0
31 12.0
32 39.0
33 42.0
34 22.0
35 14.0
36 21.0
37 15.0
38 35.0
39 13.0
40 30.0
41 29.0
42 22.0
43 18.0
44 13.0
45 20.0
46 15.0
47 33.0
48 58.0
49 55.0
50 22.0
51 17.0
52 40.0
53 23.0
54 16.0
55 15.0
56 20.0
57 19.0
58 11.0
59 19.0
60 11.0
61 38.0
62 16.0
63 15.0
64 35.0
65 19.0
66 11.0
67 11.0
68 20.0
69 13.0
70 14.0
71 18.0
72 19.0
73 26.0
74 37.0
75 19.0
76 53.0
77 43.0
78 25.0
79 16.0
80 12.0
81 9.0
82 14.0
83 20.0
84 9.0
85 23.0
86 23.0
87 14.0
88 30.0
89 26.0
90 32.0
91 17.0
92 12.0
93 12.0
94 42.0
95 29.0
96 26.0
97 11.0
98 23.0
99 31.0
